Filename	Dimension1	Dimension2	Dimension3	Dimension4	Dimension5	Dimension6	Closest Text Type
JOC-13B-03O	15.45	-4.61	-0.27	-0.29	7.74	-3.5	Involved persuasion
JOC-13B-04N	15.71	-2.14	3.28	8.03	1.63	2.08	Involved persuasion
JOC-13B-05N	21.51	-4.02	-0.84	5.41	2.93	3.26	Informational interaction
JOC-13B-05O	15.47	-3.07	3.66	1.18	0.76	3.4	Involved persuasion
JOC-13B-06N	13.04	0.43	1.22	5.99	3.08	1.38	Involved persuasion
JOC-13B-07N	15.98	-2.15	4.68	8.99	4.19	4.85	Involved persuasion
JOC-13B-07O	4.7	-1.61	5.03	8.18	5.05	2.14	Involved persuasion
JOC-13B-08N	12	-2.59	4.64	1.05	1.72	2.02	Involved persuasion
JOC-13B-09N	13.32	-3.35	2.51	3.57	1.57	2.17	Involved persuasion
JOC-13B-09O	9.57	-4.89	6.1	0.69	3.43	0.48	Involved persuasion
JOC-13B-10N	12.44	0.79	4.09	4.9	1.07	1.15	Involved persuasion
JOC-13B-10O	7.05	-2.35	6.4	6.02	1.95	0.83	Involved persuasion
JOC-13B-11N	13.48	-2.01	3.66	4.16	0.65	3.99	Involved persuasion
JOC-14A-01N	11.14	-0.59	4.51	8.42	3.33	3.64	Involved persuasion
JOC-14A-01O	9.66	-1.92	2.05	8.59	1.63	6.33	Involved persuasion
JOC-14A-02N	12.2	-3.2	5.72	4.81	4.24	2.36	Involved persuasion
JOC-14A-02O	2.75	-5.93	7.71	3.87	-0.39	1.85	Involved persuasion
JOC-14A-03N	13.52	-0.98	4.43	5.4	5.79	2.45	Involved persuasion
JOC-14A-03O	21.5	-5.57	-1.86	-5.63	-0.83	10	Informational interaction
JOC-14A-04N	11.79	-2.96	2.9	3.65	2.64	0.77	Involved persuasion
JOC-14A-05N	9.94	-3.36	5.47	5.54	3.13	1.31	Involved persuasion
JOC-14A-06N	12.67	-4.16	4.97	7.61	4.77	1.05	Involved persuasion
JOC-14A-06O	17.73	-3.29	0.59	6.57	4.84	2.19	Involved persuasion
JOC-14A-07N	6.37	-3.08	5.64	4.88	4.3	5.92	Involved persuasion
JOC-14A-07O	10.81	-4.59	5.26	2.67	2.54	5.53	Involved persuasion
JOC-14A-08N	8.01	0.54	4.09	4.52	3.84	4.91	Involved persuasion
JOC-14A-09N	14.8	-3.94	4.6	5.67	5.23	3.2	Involved persuasion
JOC-14A-10N	11.51	-2.83	5.43	6.87	5.39	0.97	Involved persuasion
JOC-14A-11N	16.81	-4.25	4.17	8.75	5.54	1.26	Involved persuasion
JOC-14A-12N	6.09	-3.03	6.86	5.86	4.89	4.19	Involved persuasion
JOC-14A-13N	7.93	-1.63	5.78	5.49	4.3	3.66	Involved persuasion
JOC-14A-13O	15.46	-3.45	9.38	1.55	4.61	3.81	Involved persuasion
JOC-14B-01N	18.22	-0.83	4.98	3.6	2.83	-0.74	Involved persuasion
JOC-14B-02N	7.28	-2.73	3.06	5.45	3.93	2.41	Involved persuasion
JOC-14B-03N	12.91	-2.01	4.21	6.85	4.7	2.97	Involved persuasion
JOC-14B-03O	18.01	-4.34	8.95	3.13	0.08	0.05	Involved persuasion
JOC-14B-04N	8.26	-1.61	4.75	5.67	1.14	3.1	Involved persuasion
JOC-14B-05N	0.0500000000000007	-4.64	6.01	1.75	5.33	-1.12	Involved persuasion
JOC-14B-06N	18.88	-0.12	3.75	4.67	3.33	3.47	Involved persuasion
JOC-14B-06O	11.83	-0.16	5.23	4.12	2.87	3.86	Involved persuasion
JOC-14B-07N	19.04	-2.25	3.23	-0.81	-2	-0.13	Informational interaction
JOC-14B-08N	12.19	-0.28	2.34	5.15	5.36	6.45	Involved persuasion
JOC-14B-09N	17.55	-2.67	7.19	8.63	3.56	2.85	Involved persuasion
JOC-14B-10N	17.71	-0.13	5.88	3.13	0.24	1.83	Involved persuasion
JOC-14B-11N	6.76	-0.36	3.57	5.02	4.09	2.79	Involved persuasion
JOC-14B-11O	4.93	-6.35	1.62	2.32	-3.92	2.64	Involved persuasion
JOC-14B-12N	10.37	-1.09	6	5.23	5.28	3.05	Involved persuasion
JOC-14B-13N	14.01	-2.98	1.79	6.61	3.21	2.91	Involved persuasion
JOC-14B-14N	19.86	-5.32	3.59	12.35	-2.24	5.62	Involved persuasion
JOC-14B-15N	1.3	3.23	12.58	0.66	5.25	8.93	Involved persuasion
JOC-14B-16N	13.83	-1.6	3.68	5.21	3.17	2.31	Involved persuasion
JOC-14B-16O	10.68	-4.69	2.05	6.88	5.24	2.31	Involved persuasion
JOC-14B-17N	5.64	-3.61	6.88	0.67	1.84	1.61	Involved persuasion
JOC-14B-18N	19.16	1.14	2.45	7.28	4.6	2.45	Involved persuasion
JOC-14B-19N	14.54	-3.12	1.02	2.55	4.25	3.95	Involved persuasion
JOC-14B-20N	10.72	-3.87	1.7	12.91	3.89	1.98	Involved persuasion
JOC-14B-21N	13.52	-2.22	4.05	5.09	2.67	2.74	Involved persuasion
JOC-14B-22N	2.46	-3.37	6.43	0.61	2.81	3.76	Involved persuasion
JOC-14B-23N	-1.8	-2.04	9.25	8.21	2.15	1.33	Involved persuasion
JOC-14B-24N	7.34	-1.76	5.9	5.4	3.26	4.53	Involved persuasion
JOC-14B-25N	11.83	-2.02	5.99	6.31	3.39	4.38	Involved persuasion
JOC-14B-25O	24.49	-3.56	1.33	1.23	-1.08	3.71	Informational interaction
JOC-14B-26N	8.93	-1.76	10.4	5.07	4.18	2.28	Involved persuasion
JOC-14B-27N	9.86	-2.87	1.92	0.88	2.37	3.21	Involved persuasion
JOC-14B-28N	18.78	-3.92	1.69	2.32	2.94	4.73	Informational interaction
JOC-14B-29N	9.63	-2.37	5.99	-1.23	0.4	3.88	Involved persuasion
JOC-14B-30N	12.58	-3.41	2.31	6.76	3.93	3.98	Involved persuasion
JOC-14B-31N	8.8	-1.94	6.83	6.21	4.56	1.4	Involved persuasion
JOC-14B-32N	12.2	-1.37	5.33	5.28	1.36	4.14	Involved persuasion
JOC-15A-01N	13.59	-3.9	3.47	8.41	4.3	2.86	Involved persuasion
JOC-15A-02N	13.8	-2.56	5.3	4.96	2.5	1.24	Involved persuasion
JOC-15A-03N	8.4	-3.87	2.8	7.04	3.92	0.38	Involved persuasion
JOC-15A-04N	18.13	-3.22	4.21	6.65	3.11	2.88	Involved persuasion
JOC-15A-05N	13.12	-3.37	2.35	7.88	2.68	5.61	Involved persuasion
JOC-15A-06N	17.97	-1.76	6.19	6.74	3.68	0.85	Involved persuasion
JOC-15A-07N	10.09	-1.75	3.99	7.82	2.75	1.97	Involved persuasion
JOC-15A-08N	13.98	-3.48	6.21	4.32	3.55	0.58	Involved persuasion
JOC-15A-09N	8.47	-3.38	8.05	9.93	4.73	0.61	Involved persuasion
JOC-15A-10N	10.3	-4.41	5.56	7.66	4.05	2.9	Involved persuasion
JOC-15A-11N	14.82	-4.83	1.55	3.78	1.98	3.64	Involved persuasion
JOC-15B-01N	9.02	-2.43	5.54	5.47	4.17	2.19	Involved persuasion
JOC-15B-02N	11.71	-0.76	4.12	6.13	0.25	2.31	Involved persuasion
JOC-15B-03N	5.33	-3.26	3.74	3.29	2.94	1.64	Involved persuasion
JOC-15B-04N	4.56	-1.58	2.4	-1.53	2.27	3.59	Involved persuasion
JOC-15B-05N	6.84	-3.87	2.69	3.32	2.1	3.78	Involved persuasion
JOC-15B-06N	9.9	-2	2.85	6.59	2.23	2.78	Involved persuasion
JOC-15B-07N	10.54	-3.11	2.91	5.6	2.16	4.81	Involved persuasion
CORPUS	11.19	-2.29	4.33	5.02	2.94	2.68	Involved persuasion
