Filename	AMP	ANDC	AWL	CAUS	CONC	COND	CONJ	DEMO	DEMP	DPAR	DWNT	EMPH	EX	FPP1	GER	HDG	INPR	JJ	NEMD	NN	NOMZ	OSUB	PHC	PIN	PIT	PLACE	POMD	PRED	PRMD	RB	SPP2	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	TTR	VBD	VPRT	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	Underused_variables	Overused_variables	
JSC-15B-18N	2.31	-0.19	-0.40	3.65	-0.63	-1.14	2.44	0.93	-0.35	-0.52	-0.31	2.67	0.39	4.54	2.95	-0.46	-0.70	-0.95	1.76	-1.55	0.33	0.45	0.07	-1.71	0.49	-0.91	3.74	8.27	0.05	-1.49	-0.46	-1.06	-0.50	3.62	-0.03	5.54	0.64	-1.26	0.38	-2.04	0.12	-0.23	1.95	0.39	-0.62	-0.33	-1.12	-0.25	-0.81	-0.64	-0.59	1.90	-0.43	-0.61	-0.25	-0.10	-1.32	0.00	-0.74	-0.45	1.02	0.90	0.06	0.83	-0.70	-0.81	-0.89	TTR 	AMP CAUS CONJ EMPH FPP1 GER POMD PRED THVC TO 
JSC-12A-01N	0.62	-0.04	-0.05	1.65	0.00	1.14	1.94	1.52	-0.15	-0.22	0.00	0.67	-0.11	0.98	-1.42	-0.31	-0.35	-0.14	6.57	1.32	0.71	0.36	0.85	-1.98	0.62	0.76	0.09	3.15	0.88	-1.18	-0.68	0.06	3.33	1.83	0.14	2.32	0.27	-0.65	0.38	-1.08	-0.14	-0.37	0.69	-0.93	-0.08	-0.41	-0.02	-0.25	-0.96	-0.64	-0.59	1.69	0.11	-0.04	0.25	-0.60	-1.28	2000.00	-0.67	-0.19	1.12	0.80	-0.71	-0.33	-0.35	-0.58	-0.50		NEMD PRED THAC TO [SPIN] 
JSC-12A-01O	1.04	-0.10	0.02	1.71	-0.63	2.50	3.44	1.48	0.17	-0.52	1.25	0.40	0.28	0.75	-1.84	-0.46	-0.70	-0.10	4.10	0.76	1.31	1.55	0.74	-1.03	-0.13	1.44	2.17	2.81	-0.05	-2.20	-0.72	1.44	-0.50	1.62	-1.49	1.64	-0.73	0.04	1.13	-1.22	-1.14	0.55	1.67	-0.16	1.46	-0.51	-0.24	-0.25	-1.40	-0.64	0.18	1.36	0.69	-0.69	-0.25	-0.80	-1.68	0.00	-0.74	-0.52	1.54	0.70	-0.82	-0.33	0.95	-0.81	-0.17	RB 	COND CONJ NEMD POMD PRED 
JSC-12A-02N	0.31	-0.04	-0.18	3.71	0.87	2.73	3.50	-0.50	0.08	-0.43	-0.19	1.64	0.50	1.21	-1.39	-0.15	-0.50	-0.23	3.33	0.04	-0.58	0.36	0.19	-1.96	1.99	-0.56	2.06	6.77	0.43	-2.10	0.41	0.38	2.33	1.14	-0.60	2.68	0.18	0.00	0.00	-0.84	-0.97	1.06	2.23	0.61	0.15	0.26	-0.30	0.25	-1.10	-0.64	-0.24	1.76	1.03	0.63	0.25	-0.40	-1.52	0.00	-0.59	0.81	2.22	1.70	-0.71	0.33	1.00	-0.74	-0.11	RB 	CAUS COND CONJ NEMD POMD PRED THAC TO XX0 [THATD] 
JSC-12A-02O	-1.04	-0.94	-0.18	-0.65	-0.63	-1.14	-0.75	-0.24	-0.96	-0.52	-1.25	-1.50	-1.22	3.75	-1.84	-0.46	-0.70	-1.33	16.00	0.20	-1.38	-0.91	-1.26	-1.54	2.32	-0.91	-1.66	5.08	0.79	-0.68	0.58	-1.06	-0.50	-1.14	-1.49	0.54	-0.73	-0.14	-0.50	-6.22	-0.73	0.60	3.00	-0.16	-0.62	0.24	-1.45	-0.25	0.06	-0.64	-0.59	2.56	6.80	-1.43	-0.25	8.10	1.36	0.00	-0.74	-0.94	1.41	-0.60	-0.82	14.50	3.40	-0.81	-0.89	TTR 	FPP1 NEMD PIT PRED XX0 [PRIV] [PROD] [SMP] [WHQU] [WHSUB] 
JSC-12A-03N	0.08	0.29	-0.32	1.29	0.63	0.95	2.94	-0.12	-0.15	-0.22	1.63	0.98	0.39	2.03	1.84	-0.46	-0.70	1.33	1.62	-0.31	-0.43	0.27	1.89	-1.86	1.30	-0.44	0.86	5.46	0.21	-1.36	0.30	-0.25	0.67	0.66	-0.66	4.61	-0.45	-1.04	-0.13	-1.85	-0.61	0.17	0.59	0.07	-0.62	-0.25	-0.86	-0.25	-0.65	0.00	-0.18	2.28	-0.49	1.70	-0.25	-0.80	-1.04	3000.00	-0.26	-0.52	0.76	2.00	-0.24	0.17	-0.55	-0.71	0.94		CONJ FPP1 PRED TO [PRIV] [SPIN] 
JSC-12A-04N	2.19	0.06	-0.28	2.06	2.38	1.45	1.31	3.19	0.15	-0.43	0.56	1.26	-0.39	1.48	-1.74	0.08	-0.70	-0.26	0.57	-0.17	-0.10	0.27	0.52	-1.68	0.15	-0.53	1.74	6.23	1.02	-2.03	-0.59	-0.50	1.00	0.90	-1.06	1.62	0.27	1.18	0.88	-0.74	0.44	-0.36	0.84	0.09	3.46	-0.32	-0.32	0.25	-0.42	-0.64	-0.47	1.13	-0.11	-0.85	-0.25	-0.80	-0.08	0.00	-0.59	0.42	1.44	0.70	-0.06	-0.33	1.15	-0.52	-0.28	RB 	AMP CAUS CONC DEMO PRED [BYPA] 
JSC-12A-04O	-1.04	-0.94	0.05	-0.65	8.25	2.09	3.69	1.02	-0.96	-0.52	-1.25	1.88	2.72	1.40	-1.84	-0.46	2.85	0.54	-1.00	-0.69	0.59	5.55	1.37	-2.12	-0.45	-0.91	2.40	3.65	2.05	-1.71	-0.72	-1.06	-0.50	6.21	0.54	-0.13	-0.73	0.88	-0.50	-5.40	0.55	-0.20	0.93	0.01	-0.62	0.42	2.85	-0.25	-1.65	-0.64	-0.59	0.32	-0.86	-0.11	-0.25	-0.80	-2.20	0.00	-0.74	-0.94	-0.76	-0.60	-0.82	-0.33	2.50	-0.81	-0.89	PIN TTR [SPAU] 	CONC COND CONJ EX INPR OSUB POMD PRED PRMD THVC [PASS] [WHSUB] 
JSC-12A-05N	0.27	0.02	-0.02	3.88	1.00	1.95	2.56	1.00	0.77	-0.35	-0.44	0.40	2.94	0.92	-1.00	0.08	-0.35	0.63	6.52	0.23	-0.08	-0.55	0.37	-1.35	1.00	-0.65	1.71	5.69	0.36	-2.19	-0.58	0.94	2.67	1.34	-0.97	1.36	1.27	-0.16	-0.38	-0.93	-1.06	0.83	1.62	0.25	0.31	-0.06	0.33	0.00	-1.23	-0.55	0.00	1.35	-0.49	1.91	0.75	-0.80	-1.48	1000.00	-0.30	1.97	1.59	0.30	-0.47	0.67	0.65	-0.71	-0.50	RB 	CAUS CONJ EX NEMD PRED THAC [SPIN] 
JSC-12A-05O	-0.77	0.13	-0.15	4.12	1.25	0.86	2.44	-0.26	-0.19	-0.22	-0.31	-0.10	0.83	1.46	-1.45	-0.46	-0.70	0.52	8.10	0.00	0.15	-0.27	-0.70	-1.29	0.52	-0.06	1.69	5.27	-0.45	-2.14	-0.56	0.31	2.00	1.38	-0.43	1.41	-0.09	-0.22	-0.50	-1.03	-1.05	0.90	2.10	0.81	-0.08	0.10	0.67	1.50	-0.94	-0.64	0.29	2.15	-0.66	0.48	-0.25	0.70	-1.32	0.00	-0.48	2.13	1.93	3.10	-0.41	-0.33	1.15	-0.81	-0.06	RB 	CAUS CONJ NEMD PRED XX0 [PRIV] [SUAV] [WHCL] 
JSC-12A-06N	0.73	-0.13	-0.38	3.00	0.63	1.14	2.94	2.93	0.48	-0.39	0.06	0.81	1.94	0.89	-0.82	0.00	-0.15	-0.60	5.52	0.16	-0.22	-0.18	0.48	-1.65	0.20	-0.56	1.03	3.12	-0.10	-1.88	-0.51	1.94	1.17	1.62	-0.54	2.48	0.55	0.52	0.38	-1.08	-0.10	-0.04	2.18	-0.56	0.69	-0.22	0.44	-0.25	-0.96	-0.64	0.06	1.77	-0.20	0.37	0.75	0.00	-1.52	1000.00	-0.70	1.06	1.29	1.70	-0.47	0.33	0.80	-0.77	-0.67		CAUS CONJ DEMO NEMD PRED TO XX0 [SPIN] 
JSC-12A-06O	0.69	0.00	-0.52	5.06	1.75	1.50	2.06	2.40	0.52	0.04	-0.44	1.26	0.22	1.03	-1.34	-0.46	-0.40	-0.62	5.76	0.12	-0.13	-0.36	0.89	-1.46	0.27	-0.74	0.74	4.65	0.19	-2.05	-0.53	2.94	1.67	1.52	-0.20	2.29	1.00	0.44	1.88	-1.56	0.06	-0.18	1.77	0.21	0.85	-0.27	0.39	-0.25	-1.29	-0.64	-0.24	0.68	-0.49	0.24	-0.25	-0.80	-1.44	0.00	-0.52	0.10	0.80	0.00	-0.47	2.83	2.50	-0.61	-0.56	RB 	CAUS CONJ DEMO NEMD PRED SYNE TO [WHQU] [WHSUB] 
JSC-12A-07N	0.54	0.02	0.02	2.76	0.25	1.64	3.00	1.40	0.40	-0.26	-0.50	1.45	1.22	0.58	-1.50	-0.38	-0.65	0.52	4.67	-0.05	0.90	0.09	0.48	-1.37	0.55	-0.56	1.91	4.08	1.02	-2.06	-0.67	-0.38	1.50	0.72	-0.09	3.21	1.64	-0.32	0.88	-1.65	-1.08	0.47	0.74	-0.23	-0.23	-0.25	0.00	0.00	-1.21	-0.55	-0.29	0.95	-0.34	-0.28	-0.25	-0.70	-1.08	1000.00	-0.37	1.35	1.27	0.40	-0.29	0.00	1.30	-0.65	0.11	RB 	CAUS CONJ NEMD PRED TO [SPIN] 
JSC-12A-07O	-0.27	-0.44	0.20	2.41	1.88	1.41	4.69	0.57	0.21	-0.17	0.25	1.33	1.67	0.57	-1.42	-0.46	-0.70	0.89	4.86	0.18	0.66	0.55	1.81	-1.46	0.56	-0.79	1.86	3.69	0.83	-1.90	-0.57	-0.81	2.83	0.24	0.11	2.59	-0.36	-0.20	0.00	-0.93	-1.16	0.36	0.36	-0.56	-0.62	-0.39	-0.91	0.75	-1.04	-0.64	0.12	1.02	-0.29	-1.13	-0.25	-0.80	-1.72	0.00	-0.44	-0.42	1.95	0.20	-0.12	-0.33	0.95	-0.42	0.00		CAUS CONJ NEMD PRED THAC TO 
JSC-12B-01N	-0.04	-0.10	-0.12	3.35	1.25	0.64	3.94	0.55	0.10	-0.09	0.31	0.93	0.11	1.59	-0.79	0.08	-0.55	-0.06	3.10	-0.65	0.15	0.45	1.11	-1.64	1.10	-0.59	1.83	4.00	-0.38	-1.50	-0.51	-0.63	2.50	1.14	0.06	4.11	0.18	-0.83	0.38	-1.37	-1.12	0.72	1.90	-0.05	-0.38	-0.15	-0.59	-0.25	-0.73	-0.55	-0.35	1.54	-0.83	5.43	1.25	-0.70	-1.52	0.00	-0.59	0.13	1.71	2.00	-0.41	-0.33	0.00	-0.55	-0.11		CAUS CONJ NEMD PRED THAC TO [PUBV] 
JSC-12B-01O	0.50	-0.27	-0.18	2.59	0.00	-0.14	7.19	1.02	0.19	0.13	0.44	1.57	0.00	1.89	-1.05	-0.31	-0.45	-0.37	3.95	-0.44	0.50	-0.45	1.04	-1.28	1.04	-0.71	1.83	4.23	-0.50	-1.95	-0.56	-0.75	4.00	0.59	0.14	4.41	1.27	-1.08	-0.50	-1.89	-1.02	0.28	1.59	-0.18	-0.62	-0.22	-0.52	-0.25	-1.37	-0.64	0.59	1.28	-0.51	4.74	-0.25	-0.80	-1.52	2000.00	-0.56	-0.13	1.56	1.90	-0.53	0.50	-0.20	-0.81	-0.06		CAUS CONJ NEMD PRED THAC TO [PUBV] [SPIN] 
JSC-12B-02N	0.46	-0.27	-0.02	3.71	0.87	1.09	3.00	2.81	0.67	-0.22	0.31	0.74	0.94	0.58	0.03	-0.31	-0.50	-0.27	2.52	0.45	0.01	-0.45	2.48	-1.32	1.35	-0.35	0.86	5.73	0.71	-1.34	-0.67	-0.31	2.67	0.86	-0.63	1.46	0.91	-0.80	0.13	-1.17	-0.87	0.53	1.64	-0.02	0.46	-0.17	0.36	-0.25	-1.00	-0.64	-0.18	1.05	-0.06	-0.19	1.00	-0.60	-1.00	2000.00	-0.33	0.39	1.27	0.60	-0.41	-0.33	1.70	-0.74	0.11		CAUS CONJ DEMO NEMD PHC PRED THAC [SPIN] 
JSC-12B-02O	-0.08	-0.42	0.35	2.35	-0.63	1.18	12.00	0.67	1.17	-0.52	0.31	0.31	-1.22	0.23	-1.84	-0.46	-0.70	1.10	1.43	1.36	-0.15	-0.91	0.63	-1.44	1.06	-0.91	0.51	7.96	0.48	-1.41	-0.54	-1.06	-0.50	2.38	-0.03	1.43	-0.73	-1.22	-0.50	-0.88	-0.90	0.85	-0.15	1.31	-0.62	-0.45	0.86	6.00	1.77	-0.64	-0.59	0.23	-0.86	-1.43	-0.25	-0.80	-2.20	0.00	-0.74	0.71	0.49	-0.60	-0.82	-0.33	1.50	-0.81	-0.89	[SPAU] 	CAUS CONJ PRED THVC [PASTP] 
JSC-12B-03N	0.85	-0.10	-0.30	2.12	0.25	-0.05	2.31	1.67	0.21	-0.35	0.00	1.48	0.11	0.89	2.13	-0.46	-0.70	-0.26	5.90	-0.05	-0.08	0.91	0.48	-1.45	0.99	-0.59	1.34	4.08	0.14	-1.85	-0.64	-0.50	2.50	0.62	-0.23	1.23	0.45	-0.17	0.62	-1.03	-0.34	0.11	2.10	-0.38	1.23	-0.04	0.53	-0.25	-0.96	-0.64	0.18	1.94	0.17	-0.31	0.75	-0.40	-1.32	0.00	-0.41	0.06	1.15	4.70	-0.41	-0.33	0.95	-0.52	-0.67		CAUS CONJ GER NEMD PRED THAC XX0 [WHCL] 
JSC-12B-03O	2.65	3.06	-0.42	-0.65	-0.63	-1.14	-0.75	4.50	-0.96	-0.52	-1.25	5.36	-1.22	1.17	0.68	-0.46	-0.70	-1.70	3.57	-0.48	-0.72	-0.91	2.30	-2.46	-0.10	1.91	6.57	13.00	0.95	-2.64	-0.72	-1.06	-0.50	5.48	-1.49	-0.95	-0.73	-0.48	-0.50	-6.27	-0.05	-0.02	6.49	1.07	-0.62	0.31	2.91	-0.25	0.19	-0.64	-0.59	2.89	-0.86	0.35	-0.25	-0.80	-2.20	0.00	-0.74	5.26	1.59	-0.60	-0.82	-0.33	3.75	-0.81	-0.89	PIN RB TTR [SPAU] 	AMP ANDC DEMO EMPH NEMD PHC POMD PRED THVC XX0 [PASS] [PRIV] [SUAV] [WHSUB] 
JSC-12B-04N	-0.04	-0.15	-0.25	3.24	0.87	-0.59	3.56	1.02	0.21	-0.22	0.69	0.90	1.56	0.24	-1.47	-0.31	-0.45	-0.80	3.05	1.69	0.01	0.00	1.19	-1.01	0.82	-0.65	0.29	4.27	-0.38	-2.24	-0.68	1.12	3.50	0.97	-0.29	0.75	1.45	-0.90	0.13	-0.84	-0.51	0.29	2.51	-0.40	0.31	-0.08	0.91	-0.25	0.15	-0.64	0.24	1.22	-0.40	0.19	-0.25	-0.50	-1.64	0.00	-0.41	0.42	1.10	0.30	-0.41	0.00	1.10	-0.74	-0.33	RB 	CAUS CONJ NEMD PRED THAC XX0 
JSC-12B-04O	-1.04	-0.94	1.30	-0.65	-0.63	-1.14	-0.75	1.62	2.52	-0.52	-1.25	-1.50	-1.22	0.87	-1.84	-0.46	-0.70	-2.34	22.81	1.95	0.93	-0.91	-1.26	2.21	-1.45	-0.91	-1.66	-1.81	-1.33	-1.84	-0.72	-1.06	-0.50	-1.14	3.29	-2.66	14.45	-1.33	-0.50	-7.86	-1.32	1.14	-1.39	-1.22	-0.62	0.17	8.65	-0.25	-1.65	-0.64	-0.59	-0.13	-0.86	4.74	-0.25	-0.80	-2.20	0.00	-0.74	4.45	-0.76	-0.60	-0.82	-0.33	15.60	-0.81	-0.89	JJ TO TTR [SPAU] 	DEMP NEMD PIN TIME TOBJ [PASS] [PUBV] [SUAV] [WHSUB] 
JSC-12B-05N	1.92	0.10	0.75	2.53	1.00	2.36	3.44	1.12	0.17	-0.43	0.25	0.10	0.56	0.36	-1.50	-0.31	-0.25	-0.73	5.52	-0.10	0.50	0.27	1.22	-1.31	1.18	-0.74	2.51	7.04	0.86	-1.66	-0.67	0.94	5.17	1.31	-1.17	1.45	0.27	-0.14	-0.25	0.17	-0.58	0.17	2.41	0.46	0.54	-0.22	0.76	-0.25	-1.04	-0.45	-0.18	1.37	-0.43	2.28	1.25	-0.60	-1.36	4000.00	-0.59	0.10	1.07	3.90	-0.41	0.00	0.45	-0.58	-0.56		CAUS COND CONJ NEMD POMD PRED THAC XX0 [PUBV] [SPIN] [WHCL] 
JSC-12B-06N	0.42	-0.08	0.15	1.88	0.38	-0.36	2.56	0.43	-0.06	-0.26	0.06	0.33	0.22	0.63	-1.45	-0.31	-0.60	0.19	0.43	0.97	0.71	0.27	2.22	-0.48	0.59	-0.53	0.54	5.65	1.00	-1.87	-0.72	-0.69	2.33	0.93	0.17	0.36	0.45	0.24	2.38	1.09	-0.36	0.13	0.56	0.03	0.85	-0.26	-0.06	0.25	-0.83	-0.27	-0.12	1.25	-0.17	-0.59	2.50	-0.20	-1.60	2000.00	0.04	0.16	1.27	0.70	-0.29	-0.33	0.00	-0.61	-0.17		CONJ PHC PRED THAC TSUB [SERE] [SPIN] 
JSC-12B-07N	0.88	0.10	0.28	2.47	0.75	-0.27	4.00	1.48	0.38	-0.04	1.00	0.52	0.00	0.41	-1.53	-0.08	-0.45	0.52	3.05	1.09	0.03	1.36	3.52	-1.19	0.82	-0.09	0.26	4.88	-0.21	-2.06	-0.60	-0.88	1.33	1.38	0.69	1.66	0.73	-0.58	3.12	0.03	-0.70	0.31	0.82	0.06	0.23	-0.32	-0.65	1.00	-0.02	-0.64	-0.24	0.69	-0.63	-0.37	1.75	-0.60	-0.96	0.00	-0.33	-0.03	0.88	0.60	-0.53	0.50	0.95	-0.45	-0.44	RB 	CAUS CONJ NEMD PHC PRED TSUB 
JSC-12B-07O	0.08	-0.02	0.08	1.94	-0.63	0.18	2.00	0.10	-0.65	-0.52	0.56	0.26	0.39	0.03	-1.84	-0.46	-0.70	0.53	0.38	1.79	-0.06	1.73	-0.19	-1.28	0.41	0.38	0.46	4.96	0.43	-1.97	-0.61	1.69	-0.50	-0.62	2.29	-0.04	1.91	-0.55	5.00	-0.84	-0.98	1.25	2.23	0.89	0.54	0.15	-0.79	-0.25	0.62	-0.64	-0.59	0.67	-0.86	-0.33	-0.25	0.70	-1.60	0.00	-0.74	0.00	1.05	3.80	-0.82	-0.33	1.90	0.13	-0.06		PRED TIME TSUB XX0 [WHCL] 
JSC-12B-08N	1.23	-0.06	-0.65	3.82	2.12	0.09	2.63	3.38	0.21	-0.43	0.56	1.67	0.17	0.96	-1.21	0.15	-0.45	-1.20	3.81	0.08	-0.12	0.45	1.93	-1.81	0.31	-0.41	1.49	6.12	-0.05	-1.84	-0.70	-0.13	2.83	1.48	-0.49	0.95	1.27	0.61	1.13	-1.22	0.30	-0.20	2.44	0.13	1.31	-0.08	0.38	-0.25	-0.62	-0.36	0.00	2.38	0.40	0.02	-0.25	-0.60	-1.04	3000.00	-0.67	0.19	1.63	2.30	-0.24	0.17	1.05	-0.74	-0.78		CAUS CONC CONJ DEMO NEMD PRED THAC XX0 [PRIV] [SPIN] [WHCL] 
JSC-12B-09N	-0.15	-0.06	-0.32	1.18	2.38	0.27	1.19	0.98	-0.17	-0.26	0.56	1.36	1.44	0.52	-1.42	0.00	-0.60	0.27	1.57	1.06	0.33	-0.27	1.19	-1.28	0.10	-0.24	0.49	3.08	1.81	-1.94	-0.60	0.81	1.83	0.72	-0.11	0.48	0.82	-0.56	0.50	-0.45	-0.55	0.16	2.36	-0.57	-0.15	-0.11	-0.14	0.00	-1.19	-0.27	0.06	1.05	-0.66	-0.04	0.75	-0.40	-1.28	0.00	-0.48	2.58	1.07	1.40	-0.35	-0.17	0.25	-0.74	0.33		CONC PRED XX0 [SUAV] 
