Filename	Tokens	AWL	TTR	$	''	,	-LRB-	-RRB-	.	:	AMP	ANDC	CAUS	CC	CD	CONC	COND	CONJ	DEMO	DEMP	DPAR	DT	DWNT	EMPH	EX	FPP1	FW	GER	HDG	IN	INPR	JJ	LS	NEMD	NN	NOMZ	OSUB	PDT	PHC	PIN	PIT	PLACE	POMD	POS	PRED	PRMD	PRP	QUAN	QUPR	RB	RP	SPP2	SYM	SYNE	THAC	THVC	TIME	TO	TOBJ	TPP3	TSUB	UH	VB	VBD	VBG	VBN	VPRT	WDT	WP	WPS	XX0	[BEMA]	[BYPA]	[CONT]	[PASS]	[PASTP]	[PEAS]	[PIRE]	[PRESP]	[PRIV]	[PROD]	[PUBV]	[SERE]	[SMP]	[SPAU]	[SPIN]	[STPR]	[SUAV]	[THATD]	[WHCL]	[WHOBJ]	[WHQU]	[WHSUB]	[WZPAST]	[WZPRES]	``	
JOC-15B-18N	1374	4.34	162	0	0	3.06	0	0	8.08	0	0.87	0.36	0.73	1.67	0.29	0	0	0.51	1.38	0.29	0	2.55	0.15	1.75	0.29	14.56	0	1.82	0	1.31	0	4.29	0	0.58	12.52	2.47	0.15	0	0.36	6.70	1.38	0	1.89	0	2.62	0.58	0	1.46	0.07	3.93	0.07	0.36	0	0	0	1.38	0.51	4.59	0.15	0.15	0.07	0	8.30	4.37	1.75	0.66	6.99	0.22	0.44	0	2.04	3.20	0	0.73	0.22	0	0.44	0	0	3.78	0.15	0.44	0	0.07	0.22	0	0	0.15	0.73	0.15	0.15	0.07	0.07	0	0	0	
JOC-12A-01N	4412	4.48	182	0	0.05	4.08	0	0	6.98	0.07	0.43	0.43	0.39	1.77	1.84	0.05	0.50	0.43	1.63	0.39	0.07	5.17	0.20	0.91	0.20	5.28	0	0.16	0.02	2.11	0.07	5.80	0	1.59	22.76	3.01	0.14	0	0.57	6.01	1.47	0.57	0.61	1.29	1.29	0.93	0	0.57	0.20	4.49	0.11	0.05	0	0.18	0.23	0.86	0.57	2.79	0.11	1.52	0.07	0	6.62	3.58	1.18	1.54	6.50	0.11	0.29	0	1.27	1.95	0.07	0.59	0.95	0	0.36	0	0	3.56	0.34	0.75	0.02	0.02	0.23	0.02	0.02	0.23	0.77	0.14	0.02	0	0.14	0.07	0.07	0.05	
JOC-12A-01O	747	4.51	179	0	0	3.88	0	0	7.36	0	0.54	0.40	0.40	2.01	0.80	0	0.80	0.67	1.61	0.54	0	6.56	0.40	0.80	0.27	4.69	0	0	0	1.20	0	5.89	0	1.07	20.75	3.88	0.27	0	0.54	8.43	0.94	0.80	1.34	0.27	1.20	0.54	0	1.61	0	2.68	0.13	0	0	0.40	0	0.80	0	2.41	0	3.08	0.13	0	5.76	0.54	0.94	1.34	9.64	0.54	0.40	0	1.87	2.68	0.27	0.40	0.80	0	0.13	0	0.13	3.21	0.54	0.40	0	0	0.13	0	0	0.13	0.94	0.13	0	0	0.40	0	0.13	0	
JOC-12A-02N	5157	4.43	187	0	0.16	4.01	0.02	0.02	7.25	0.06	0.35	0.43	0.74	2.31	0.48	0.12	0.85	0.68	0.78	0.50	0.02	3.78	0.17	1.32	0.31	5.89	0.04	0.17	0.04	1.75	0.04	5.64	0	0.91	18.21	1.16	0.14	0	0.39	6.07	2.44	0.12	1.30	0.19	2.23	0.74	0.04	1.26	0.27	2.87	0.02	1.55	0.02	0.23	0.17	0.66	0.31	2.99	0.10	2.99	0.04	0	7.43	1.05	1.43	1.28	11.40	0.10	0.60	0.02	2.21	3.41	0.10	1.84	0.76	0.02	0.29	0	0.06	3.63	0.66	1.11	0.02	0.04	0.17	0	0.04	0.54	1.22	0.23	0.02	0.04	0.41	0.02	0.14	0.16	
JOC-12A-02O	112	4.43	75	0	0	1.79	0	0	11.61	0	0	0	0	0.89	0	0	0	0	0.89	0	0	4.46	0	0	0	12.50	0	0	0	5.36	0	3.57	0	3.57	18.75	0	0	0	0	7.14	2.68	0	0	0	1.79	0.89	0	0	0	5.36	0	1.79	0	0	0	0	0	1.79	0	2.68	0	0	9.82	1.79	0	0.89	9.82	0	0.89	0	2.68	2.68	0	1.79	0	0	0.89	0	0	4.46	2.68	0	0	0.89	0.89	0	0	0	0.89	0	0	0.89	0.89	0	0	0	
JOC-12A-03N	3070	4.37	166	0	0.26	4.56	0.07	0.07	6.94	0.10	0.29	0.59	0.33	2.21	0.49	0.10	0.46	0.59	0.94	0.39	0.07	4.89	0.46	1.04	0.29	8.01	0.07	1.40	0	1.50	0	8.57	0	0.55	16.94	1.37	0.13	0	0.85	6.32	1.95	0.16	0.88	0.20	1.89	0.65	0	0.91	0.03	4.17	0.13	1.40	0	0.13	0.07	0.52	0.29	4.07	0.03	0.65	0.03	0	6.84	2.15	2.31	1.14	8.37	0.29	0.39	0	1.21	2.90	0	0.88	0.39	0	0.52	0.07	0.07	4.17	0.13	1.69	0	0	0.29	0.03	0.13	0.13	0.62	0.26	0.10	0.03	0.10	0.03	0.33	0.23	
JOC-12A-04N	4550	4.39	189	0	0.04	3.38	0.02	0.04	7.63	0.09	0.84	0.48	0.46	1.91	0.59	0.24	0.57	0.33	2.33	0.53	0.02	5.71	0.29	1.16	0.15	6.57	0	0.04	0.07	1.76	0	5.58	0	0.33	17.45	1.85	0.13	0	0.48	6.79	1.14	0.13	1.19	0.31	2.09	0.99	0	0.70	0.35	2.99	0.59	0.18	0	0.09	0.09	0.59	0.15	2.40	0.11	5.65	0.11	0	5.45	5.34	1.58	2.42	6.53	0.22	0.59	0.02	1.36	2.92	0.53	0.75	0.75	0.02	0.64	0	0.02	2.97	0.26	0.31	0	0	0.53	0	0.04	0.42	0.90	0.13	0.13	0	0.44	0.09	0.11	0.04	
JOC-12A-04O	141	4.52	92	0	0	3.55	0	0	7.09	0	0	0	0	2.13	0	0.71	0.71	0.71	1.42	0	0	6.38	0	1.42	0.71	6.38	0	0	0	1.42	0.71	7.09	0	0	15.60	2.84	0.71	0	0.71	5.67	0.71	0	1.42	0	1.42	1.42	0	0.71	0	3.55	0.71	0	0	0	0	2.13	0.71	1.42	0	4.96	0	0	5.67	5.67	0.71	2.13	7.09	1.42	0	0	1.42	2.84	0	2.13	2.84	0	0	0	0	2.13	0	0.71	0	0	0	0	0	0	0	0	0	0	0.71	0	0	0	
JOC-12A-05N	6785	4.49	185	0	0.15	4.39	0.01	0.01	7.61	0.01	0.34	0.46	0.77	1.96	0.27	0.13	0.68	0.53	1.41	0.83	0.04	4.58	0.13	0.80	0.75	5.11	0.06	0.32	0.07	1.84	0.07	7.25	0	1.58	18.88	1.87	0.04	0	0.44	7.62	1.74	0.09	1.18	0.59	1.95	0.71	0.04	1.59	0.34	2.71	0.09	0.19	0	0.32	0.19	0.72	0.18	2.25	0.22	2.62	0.01	0	6.65	0.80	1.24	1.80	10.60	0.10	0.60	0	1.84	3.07	0.12	1.24	1.18	0.01	0.22	0.01	0.10	3.20	0.13	1.80	0.04	0	0.18	0.01	0.12	0.90	0.96	0.09	0.06	0.06	0.34	0.03	0.07	0.10	
JOC-12A-05O	1362	4.44	183	0	0.15	4.85	0	0	8.15	0.07	0.07	0.51	0.81	1.54	0.22	0.15	0.44	0.51	0.88	0.37	0.07	5.58	0.15	0.59	0.37	6.53	0	0.15	0	1.62	0	7.05	0	1.91	18.06	2.20	0.07	0	0.15	7.78	1.40	0.29	1.17	0.59	1.84	0.37	0	1.84	0.29	2.79	0.07	0.22	0	0.22	0.15	0.73	0.37	2.28	0.07	2.50	0	0	6.83	0.81	1.32	2.42	10.87	0.22	0.59	0	2.13	3.60	0.07	1.54	1.40	0.07	0.37	0	0.15	4.04	0.07	1.03	0	0.15	0.22	0	0.07	0.95	1.10	0.37	0.07	0	0.44	0	0.15	0.15	
JOC-12A-06N	7251	4.35	182	0	0.08	4.11	0.04	0.04	7.38	0.08	0.46	0.39	0.62	1.96	0.84	0.10	0.50	0.59	2.22	0.69	0.03	6.15	0.21	0.97	0.57	5.05	0.01	0.39	0.06	1.79	0.11	4.94	0	1.37	18.63	1.68	0.08	0	0.47	6.85	1.17	0.12	0.94	0.44	1.28	0.52	0	0.74	0.26	3.25	0.04	0.29	0	0.48	0.10	0.80	0.33	2.88	0.14	4.15	0.07	0	6.63	3.71	1.17	2.12	7.64	0.17	0.66	0	2.18	2.30	0.17	0.94	1.25	0	0.36	0	0.11	3.64	0.23	0.97	0.04	0.08	0.17	0.01	0.01	0.62	0.84	0.23	0.06	0.04	0.37	0.01	0.04	0.07	
JOC-12A-06O	1552	4.29	172	0	0.06	4.83	0.13	0.13	7.73	0	0.45	0.45	0.97	1.55	0.52	0.19	0.58	0.45	2.00	0.71	0.13	5.73	0.13	1.16	0.26	5.41	0.06	0.19	0	1.42	0.06	4.90	0	1.42	18.49	1.80	0.06	0	0.58	7.35	1.22	0.06	0.84	0.06	1.68	0.64	0	0.90	0.06	2.96	0.32	0.26	0	0.64	0.13	0.77	0.45	2.77	0.19	3.99	0.19	0	6.77	4.19	0.90	2.32	7.15	0.13	0.97	0	1.93	3.03	0.19	0.84	1.22	0	0.19	0	0.06	2.51	0.13	0.90	0	0	0.19	0	0.06	0.32	0.64	0.06	0.06	0.19	0.71	0.06	0.06	0.06	
JOC-12A-07N	8212	4.51	170	0	0.15	3.37	0.01	0.01	7.34	0.04	0.41	0.46	0.58	1.86	0.73	0.07	0.61	0.60	1.58	0.65	0.06	5.54	0.12	1.24	0.44	4.24	0.01	0.13	0.01	1.35	0.01	7.04	0	1.19	17.86	3.28	0.11	0	0.47	7.57	1.42	0.12	1.25	0.39	1.53	0.99	0	1.19	0.18	2.93	0.13	0.07	0	0.11	0.12	0.54	0.49	3.29	0.26	2.26	0.11	0	7.77	0.74	2.57	1.70	9.38	0.16	0.63	0	1.30	2.61	0.05	0.89	0.96	0.01	0.23	0.01	0.05	2.79	0.18	0.62	0	0.01	0.28	0.01	0.10	0.71	0.83	0.10	0.09	0.02	0.47	0.05	0.18	0.12	
JOC-12A-07O	2520	4.58	185	0	0.08	4.05	0.08	0.08	6.55	0.04	0.20	0.24	0.52	2.06	1.07	0.20	0.56	0.87	1.23	0.56	0.08	5.99	0.24	1.19	0.52	4.21	0	0.16	0	1.23	0	7.74	0	1.23	18.69	2.94	0.16	0	0.83	7.34	1.43	0.04	1.23	0.48	1.43	0.91	0	1.15	0.16	3.21	0.24	0.20	0	0.04	0.20	0.40	0.56	2.94	0.04	2.54	0.04	0	7.14	0.48	2.86	1.19	9.01	0.16	0.44	0	1.07	2.30	0	0.63	0.36	0.04	0.32	0	0.12	2.86	0.20	0.16	0	0	0.12	0	0.08	0.16	1.11	0.08	0.12	0	0.40	0.12	0.16	0.08	
JOC-12B-01N	7225	4.45	176	0	0.51	3.90	0.07	0.07	7.07	0.04	0.26	0.40	0.68	2.03	0.47	0.15	0.39	0.75	1.22	0.51	0.10	4.82	0.25	1.02	0.24	6.88	2.84	0.40	0.07	1.31	0.03	5.95	0	0.86	15.74	2.20	0.15	0.01	0.64	6.89	1.81	0.11	1.22	0.21	1.51	0.40	0	1.11	0.04	3.92	0.10	0.28	0	0.07	0.18	0.66	0.54	3.79	0.10	1.13	0.07	0	7.52	0.62	2.87	1.31	10.24	0.33	0.29	0	2.01	2.78	0.03	1.08	0.57	0	0.48	0.01	0.04	3.40	0.01	3.70	0.06	0.01	0.17	0	0.04	0.33	1.01	0.26	0.07	0	0.21	0.08	0.14	0.51	
JOC-12B-01O	4020	4.43	165	0	1.32	5.00	0	0	7.06	0.02	0.40	0.32	0.55	1.77	0.70	0.05	0.22	1.27	1.42	0.55	0.15	5.22	0.27	1.29	0.22	7.64	2.21	0.30	0.02	1.59	0.05	5.37	0	1.04	16.47	2.71	0.05	0	0.62	7.81	1.77	0.07	1.22	0.15	1.57	0.35	0	1.32	0.15	3.13	0.07	0.22	0	0.05	0.27	0.50	0.57	3.96	0.22	0.55	0	0	7.79	0.90	2.21	0.97	8.73	0.20	0.20	0.02	1.82	2.66	0	0.95	0.62	0	0.15	0	0.20	3.13	0.12	3.33	0	0	0.17	0.02	0.05	0.25	0.95	0.25	0.05	0.05	0.17	0	0.15	1.17	
JOC-12B-02N	5666	4.49	180	0	0.14	3.67	0.05	0.05	6.71	0.04	0.39	0.32	0.74	2.38	0.83	0.12	0.49	0.60	2.17	0.78	0.07	5.75	0.25	0.94	0.39	4.24	0	0.71	0.02	1.32	0.04	5.56	0	0.74	19.66	2.01	0.05	0.02	1.01	7.70	1.99	0.19	0.88	0.37	1.96	0.86	0	1.29	0.11	4.20	0.05	0.07	0	0.12	0.19	0.58	0.30	2.31	0.18	1.18	0.05	0	5.97	1.38	2.19	1.85	9.58	0.23	0.65	0	1.85	2.81	0.14	1.04	1.20	0	0.34	0	0.07	2.89	0.28	0.67	0.05	0.02	0.30	0.02	0.11	0.41	0.83	0.12	0.07	0	0.55	0.02	0.18	0.23	
JOC-12B-02O	393	4.64	186	0	0.25	3.82	0	0	7.63	0	0.25	0.25	0.51	0.51	0.25	0	0.51	2.04	1.27	1.02	0	6.36	0.25	0.76	0	3.31	0	0	0	2.54	0	8.14	0	0.51	22.90	1.78	0	0	0.51	7.38	1.78	0	0.76	0	2.54	0.76	0	0.51	0	4.07	0	0.25	0	0	0	1.02	0.51	2.29	0	0.25	0	0	4.33	1.27	2.29	3.56	10.69	0.25	0.25	0	0.76	4.07	0	0.51	1.53	0.25	1.78	0	0	2.04	0	0	0	0	0	0	0	0.51	0.51	0	0	0	0.51	0	0	0.25	
JOC-12B-03N	4497	4.38	183	0	0.31	3.71	0.09	0.09	7.54	0.09	0.49	0.40	0.47	1.93	0.60	0.07	0.24	0.49	1.69	0.56	0.04	7.43	0.20	1.25	0.24	5.03	0.07	1.51	0	1.42	0	5.58	0	1.45	17.88	1.87	0.20	0	0.47	7.36	1.73	0.11	1.05	0.47	1.53	0.62	0	1.18	0.24	3.31	0.07	0.11	0	0.09	0.18	0.51	0.44	2.18	0.13	2.60	0.09	0	6.32	2.98	1.05	2.18	8.14	0.38	0.71	0	2.13	2.47	0.24	1.27	1.31	0	0.36	0	0.13	3.82	0.36	0.60	0.04	0.04	0.22	0	0.09	0.31	0.78	0.53	0.07	0	0.40	0.09	0.04	0.18	
JOC-12B-03O	104	4.33	74	0	0	3.85	0	0	5.77	0	0.96	1.92	0	0.96	0	0	0	0	2.88	0	0	6.73	0	2.88	0	5.77	0	0.96	0	1.92	0	2.88	0	0.96	16.35	0.96	0	0	0.96	4.81	0.96	0.96	2.88	0.96	3.85	0.96	0	0.96	0	1.92	0	0	0	0	0	1.92	0	0.96	0	1.92	0	0	7.69	3.85	0	3.85	7.69	0	1.92	0	4.81	3.85	0	1.92	2.88	0	0.96	0	0	4.81	0	0.96	0	0	0	0	0	1.92	0.96	0	0	0	0.96	0	0	0	
JOC-12B-04N	5763	4.40	187	0	0.21	4.27	0.03	0.03	6.65	0.03	0.26	0.38	0.66	1.94	0.94	0.12	0.12	0.69	1.42	0.56	0.07	7.58	0.31	1.01	0.50	3.35	0	0.14	0.02	1.63	0.05	4.56	0	0.85	24.05	2.00	0.10	0	0.66	8.49	1.61	0.09	0.68	0.38	1.58	0.40	0	1.42	0.24	2.62	0.03	0.05	0	0.35	0.24	0.61	0.42	1.91	0.24	0.97	0.05	0	4.67	2.46	1.41	2.92	8.76	0.29	0.47	0	2.38	2.45	0.12	1.20	1.56	0	0.94	0	0.14	3.07	0.16	0.87	0	0.03	0.14	0	0.09	0.42	0.76	0.09	0.07	0.02	0.43	0.02	0.10	0.21	
JOC-12B-04O	60	5.02	41	0	0	1.67	0	0	6.67	0	0	0	0	0	0	0	0	0	1.67	1.67	0	3.33	0	0	0	5.00	0	0	0	0	0	1.67	0	5.00	25.00	3.33	0	0	0	16.67	0	0	0	0	0	0	0	3.33	0	3.33	0	0	0	0	0	0	1.67	0	1.67	0	0	0	5.00	0	0	6.67	11.67	1.67	1.67	0	0	1.67	0	1.67	6.67	0	0	0	0	1.67	0	3.33	0	0	0	0	0	1.67	0	0	0	0	3.33	0	0	0	
JOC-12B-05N	5347	4.80	208	0.06	0.26	3.76	0.07	0.07	7.11	0.21	0.77	0.50	0.54	1.87	1.12	0.13	0.77	0.67	1.46	0.54	0.02	6.92	0.24	0.67	0.32	3.65	0.11	0.13	0.02	1.42	0.09	4.69	0	1.37	17.69	2.71	0.13	0	0.67	7.71	1.87	0.06	1.46	0.32	2.30	0.92	0.09	0.88	0.13	3.63	0.04	0.07	0	0.32	0.34	0.71	0.11	2.30	0.11	2.67	0.02	0.02	7.09	2.26	1.16	2.30	8.34	0.26	0.80	0	2.32	3.27	0.15	0.95	1.46	0	0.32	0.02	0.07	3.22	0.15	2.00	0.06	0.02	0.21	0.04	0.04	0.32	0.75	0.45	0.07	0.02	0.30	0.07	0.06	0.26	
JOC-12B-06N	5316	4.56	227	0.04	0.13	4.27	0.04	0.04	7.22	0.06	0.38	0.41	0.43	2.14	0.88	0.08	0.17	0.53	1.17	0.43	0.06	6.02	0.21	0.77	0.26	4.36	0.02	0.15	0.02	1.39	0.02	6.43	0	0.30	21.52	3.01	0.13	0	0.94	9.84	1.45	0.13	0.77	0.85	1.94	0.98	0	1.07	0.09	3.27	0.13	0	0	0.06	0.17	0.60	0.58	1.69	0.13	3.52	0.23	0.04	4.76	2.93	1.28	1.75	8.20	0.30	0.30	0.02	1.19	2.86	0.19	0.87	0.92	0.02	0.43	0.04	0.08	3.10	0.24	0.45	0.11	0.06	0.15	0.02	0.21	0.34	0.83	0.13	0.09	0	0.21	0.06	0.13	0.15	
JOC-12B-07N	6441	4.61	205	0.02	0.20	4.91	0.08	0.08	6.66	0.16	0.50	0.50	0.53	2.42	0.76	0.11	0.19	0.76	1.61	0.64	0.11	5.22	0.36	0.85	0.22	3.79	0	0.12	0.05	1.63	0.05	7.05	0	0.85	21.92	2.03	0.25	0	1.29	8.03	1.61	0.28	0.67	0.57	1.74	0.47	0.02	1.04	0.03	2.93	0.23	0.16	0	0.03	0.11	0.73	0.76	2.42	0.16	1.69	0.29	0.02	5.51	1.89	1.72	1.89	8.83	0.48	0.26	0	1.35	2.89	0.11	0.76	0.53	0.05	0.85	0	0.06	2.52	0.08	0.57	0.08	0.02	0.31	0	0.11	0.28	0.67	0.12	0.05	0.05	0.40	0.11	0.08	0.19	
JOC-12B-07O	680	4.53	187	0	0.74	4.71	0.29	0.29	7.06	0.15	0.29	0.44	0.44	2.65	1.03	0	0.29	0.44	1.03	0.15	0	4.85	0.29	0.74	0.29	2.79	0.15	0	0	1.32	0	7.06	0	0.29	24.41	1.91	0.29	0	0.29	7.79	1.32	0.44	0.74	1.03	1.76	0.74	0	1.62	0	3.09	0.29	0.15	0	0.44	0	0.15	1.32	1.47	0.29	1.76	0.44	0	4.26	1.03	1.18	2.35	12.06	0.74	0.59	0	2.21	3.68	0.15	1.62	0.44	0	1.18	0	0	2.50	0	0.59	0	0.15	0.15	0	0	0.29	0.74	0.44	0	0	0.59	0.29	0.15	0.74	
